obs_id,side,source,source_record_id,donor_name,donor_dac_code,donor_iati_id,recipient,sector,sector_raw,flow_stage,instrument,amount_usd,amount_usd_constant,price_base_year,amount_original,currency_original,price_base,year,fiscal_basis,period_start,period_end,status,confidence,dataset_version,dedup_key,is_multilateral_outflow,counts_in_headline,source_url,retrieved_at,notes
0e2e9d67ba27cbcd,donor,wb_indicators,DT.ODA.ODAT.CD-NPL-2023,"All donors (net ODA received, OECD/DAC via World Bank)",,,NPL,,,disbursement,,1173136840.82031,,,1173136840.82031,USD,current,2023,calendar,,,REPORTED,high,2026-06-03.1,DT.ODA.ODAT.CD-NPL-2023,False,False,https://api.worldbank.org/v2/country/NPL/indicator/DT.ODA.ODAT.CD?format=json&date=2015:2024&per_page=100,2026-06-03T16:10:29Z,"net ODA received, current US$; ANCHOR benchmark (not summed)"
58f48bf9c9022d7d,donor,wb_indicators,DT.ODA.ODAT.CD-NPL-2022,"All donors (net ODA received, OECD/DAC via World Bank)",,,NPL,,,disbursement,,1198725219.72656,,,1198725219.72656,USD,current,2022,calendar,,,REPORTED,high,2026-06-03.1,DT.ODA.ODAT.CD-NPL-2022,False,False,https://api.worldbank.org/v2/country/NPL/indicator/DT.ODA.ODAT.CD?format=json&date=2015:2024&per_page=100,2026-06-03T16:10:29Z,"net ODA received, current US$; ANCHOR benchmark (not summed)"
fdda212cfbf9085d,donor,wb_indicators,DT.ODA.ODAT.CD-NPL-2021,"All donors (net ODA received, OECD/DAC via World Bank)",,,NPL,,,disbursement,,1599871459.96094,,,1599871459.96094,USD,current,2021,calendar,,,REPORTED,high,2026-06-03.1,DT.ODA.ODAT.CD-NPL-2021,False,False,https://api.worldbank.org/v2/country/NPL/indicator/DT.ODA.ODAT.CD?format=json&date=2015:2024&per_page=100,2026-06-03T16:10:29Z,"net ODA received, current US$; ANCHOR benchmark (not summed)"
ce7557886062ea13,donor,wb_indicators,DT.ODA.ODAT.CD-NPL-2020,"All donors (net ODA received, OECD/DAC via World Bank)",,,NPL,,,disbursement,,1760075439.45313,,,1760075439.45313,USD,current,2020,calendar,,,REPORTED,high,2026-06-03.1,DT.ODA.ODAT.CD-NPL-2020,False,False,https://api.worldbank.org/v2/country/NPL/indicator/DT.ODA.ODAT.CD?format=json&date=2015:2024&per_page=100,2026-06-03T16:10:29Z,"net ODA received, current US$; ANCHOR benchmark (not summed)"
c675dc91df3e8673,donor,wb_indicators,DT.ODA.ODAT.CD-NPL-2019,"All donors (net ODA received, OECD/DAC via World Bank)",,,NPL,,,disbursement,,1333569213.86719,,,1333569213.86719,USD,current,2019,calendar,,,REPORTED,high,2026-06-03.1,DT.ODA.ODAT.CD-NPL-2019,False,False,https://api.worldbank.org/v2/country/NPL/indicator/DT.ODA.ODAT.CD?format=json&date=2015:2024&per_page=100,2026-06-03T16:10:29Z,"net ODA received, current US$; ANCHOR benchmark (not summed)"
f1bd562251ffef5e,donor,wb_indicators,DT.ODA.ODAT.CD-NPL-2018,"All donors (net ODA received, OECD/DAC via World Bank)",,,NPL,,,disbursement,,1452363159.17969,,,1452363159.17969,USD,current,2018,calendar,,,REPORTED,high,2026-06-03.1,DT.ODA.ODAT.CD-NPL-2018,False,False,https://api.worldbank.org/v2/country/NPL/indicator/DT.ODA.ODAT.CD?format=json&date=2015:2024&per_page=100,2026-06-03T16:10:29Z,"net ODA received, current US$; ANCHOR benchmark (not summed)"
2d50ccb150ff247b,donor,wb_indicators,DT.ODA.ODAT.CD-NPL-2017,"All donors (net ODA received, OECD/DAC via World Bank)",,,NPL,,,disbursement,,1269647583.00781,,,1269647583.00781,USD,current,2017,calendar,,,REPORTED,high,2026-06-03.1,DT.ODA.ODAT.CD-NPL-2017,False,False,https://api.worldbank.org/v2/country/NPL/indicator/DT.ODA.ODAT.CD?format=json&date=2015:2024&per_page=100,2026-06-03T16:10:29Z,"net ODA received, current US$; ANCHOR benchmark (not summed)"
b72e7ae5993ed3e7,donor,wb_indicators,DT.ODA.ODAT.CD-NPL-2016,"All donors (net ODA received, OECD/DAC via World Bank)",,,NPL,,,disbursement,,1064495727.53906,,,1064495727.53906,USD,current,2016,calendar,,,REPORTED,high,2026-06-03.1,DT.ODA.ODAT.CD-NPL-2016,False,False,https://api.worldbank.org/v2/country/NPL/indicator/DT.ODA.ODAT.CD?format=json&date=2015:2024&per_page=100,2026-06-03T16:10:29Z,"net ODA received, current US$; ANCHOR benchmark (not summed)"
138d7deec0511f68,donor,wb_indicators,DT.ODA.ODAT.CD-NPL-2015,"All donors (net ODA received, OECD/DAC via World Bank)",,,NPL,,,disbursement,,1224444335.9375,,,1224444335.9375,USD,current,2015,calendar,,,REPORTED,high,2026-06-03.1,DT.ODA.ODAT.CD-NPL-2015,False,False,https://api.worldbank.org/v2/country/NPL/indicator/DT.ODA.ODAT.CD?format=json&date=2015:2024&per_page=100,2026-06-03T16:10:29Z,"net ODA received, current US$; ANCHOR benchmark (not summed)"
