year,donor_side_usd,recipient_side_usd,anchor_usd,gap_abs_usd,gap_pct,anchor_residual_pct,donor_vs_anchor,note
2010,,1079710555.0,,,,,,"donor=OECD DAC2A leaf donors; recipient=Nepal DCR (Nepal FY, approx align); anchor=WB net ODA received"
2011,,1045297274.0,,,,,,"donor=OECD DAC2A leaf donors; recipient=Nepal DCR (Nepal FY, approx align); anchor=WB net ODA received"
2012,,959951289.0,,,,,,"donor=OECD DAC2A leaf donors; recipient=Nepal DCR (Nepal FY, approx align); anchor=WB net ODA received"
2013,,1036648341.0,,,,,,"donor=OECD DAC2A leaf donors; recipient=Nepal DCR (Nepal FY, approx align); anchor=WB net ODA received"
2014,,1020755156.0,,,,,,"donor=OECD DAC2A leaf donors; recipient=Nepal DCR (Nepal FY, approx align); anchor=WB net ODA received"
2015,1231885758.0,1074060633.0,1224444336.0,157825125.0,14.7,0.6,CONSISTENT,"donor=OECD DAC2A leaf donors; recipient=Nepal DCR (Nepal FY, approx align); anchor=WB net ODA received"
2016,1069822297.0,1394600868.0,1064495728.0,-324778571.0,-23.3,0.5,CONSISTENT,"donor=OECD DAC2A leaf donors; recipient=Nepal DCR (Nepal FY, approx align); anchor=WB net ODA received"
2017,1277555746.0,1622780735.0,1269647583.0,-345224989.0,-21.3,0.6,CONSISTENT,"donor=OECD DAC2A leaf donors; recipient=Nepal DCR (Nepal FY, approx align); anchor=WB net ODA received"
2018,1463673806.0,1578485261.0,1452363159.0,-114811455.0,-7.3,0.8,CONSISTENT,"donor=OECD DAC2A leaf donors; recipient=Nepal DCR (Nepal FY, approx align); anchor=WB net ODA received"
2019,1352279367.0,2002801264.0,1333569214.0,-650521897.0,-32.5,1.4,CONSISTENT,"donor=OECD DAC2A leaf donors; recipient=Nepal DCR (Nepal FY, approx align); anchor=WB net ODA received"
2020,1770043276.0,1684668060.0,1760075439.0,85375216.0,5.1,0.6,CONSISTENT,"donor=OECD DAC2A leaf donors; recipient=Nepal DCR (Nepal FY, approx align); anchor=WB net ODA received"
2021,1601933408.0,1420458555.0,1599871460.0,181474853.0,12.8,0.1,CONSISTENT,"donor=OECD DAC2A leaf donors; recipient=Nepal DCR (Nepal FY, approx align); anchor=WB net ODA received"
2022,1204108789.0,1371049821.0,1198725220.0,-166941032.0,-12.2,0.4,CONSISTENT,"donor=OECD DAC2A leaf donors; recipient=Nepal DCR (Nepal FY, approx align); anchor=WB net ODA received"
2023,1222701130.0,,1173136841.0,,,4.2,CONSISTENT,"donor=OECD DAC2A leaf donors; recipient=Nepal DCR (Nepal FY, approx align); anchor=WB net ODA received"
2024,1226680104.0,,,,,,,"donor=OECD DAC2A leaf donors; recipient=Nepal DCR (Nepal FY, approx align); anchor=WB net ODA received"
